cat_name,cat_description,cat_sname
Bali, I went to Bali,
California,,
California Eats,,Eats
Creativity Strikes,,
Colorado,,
Cooking,,
Costa Rica,,
Costa Rica Eats,,Eats
Denmark,,
Denmark Eats,,Eats
Getting Personal,,
Hawaii,,
Hawaii Eats,,Eats
Idaho,,
Life,,
Metal Mouth,,
Mexico, Information about Mexico,
Money Matters,,
New Mexico,,
North Carolina,,
North Carolina Eats,,Eats
Partners,,
San Francisco,,
San Francisco Eats,,Eats
South Carolina,,
South Carolina Eats,,Eats
Texas,,
Texas Eats,,Eats
Thirsty,,
Oregon,,
Oregon Eats,,Eats
Wyoming,,